Código do Descritor,Descritor,Nível de Complexidade do Texto,Código da Classe,Classes,1EF,2EF,3EF,4EF,5EF,Prio Ped,BNCC,SAEB
D01-1EF,Distinguir letras do alfabeto de outros sinais gráficos.,Não há.,D01-1EF-CL1,Distinguir letras do alfabeto de desenhos e/ou garatujas.,x,,,,,2.0,EF01LP04,Não há.
D01-1EF,Distinguir letras do alfabeto de outros sinais gráficos.,Não há.,D01-1EF-CL2,Distinguir letras do alfabeto de números e/ou outros sinais usados na escrita convencional.,x,,,,,2.0,EF01LP04,Não há.
D02-1EF,Reconhecer letras do alfabeto.,Não há.,D02-1EF-CL1,"Reconhecer uma vogal, quando apresentada individualmente.",x,,,,,2.0,EF01LP10,Não há.
D02-1EF,Reconhecer letras do alfabeto.,Não há.,D02-1EF-CL2,"Reconhecer uma vogal, quando apresentada no início de uma palavra.",x,,,,,2.0,EF01LP10,Não há.
D02-1EF,Reconhecer letras do alfabeto.,Não há.,D02-1EF-CL3,"Reconhecer uma consoante, quando apresentada individualmente, entre outras com pontos e/ou modos de articulação semelhantes.",x,,,,,2.0,EF01LP10,Não há.
D02-1EF,Reconhecer letras do alfabeto.,Não há.,D02-1EFCL4,"Reconhecer uma consoante, quando apresentada no início de uma palavra, entre outras com pontos e/ou modos de articulação semelhantes.",x,,,,,2.0,EF01LP10,Não há.
D03-1EF,Reconhecer as diferentes formas de grafar uma letra ou uma palavra.,Não há.,D03-12EF-CL01,Reconhecer uma letra em imprensa maiúscula na forma cursiva ou vice-versa.,x,,,,,2.0,EF01LP11,Não há.
D03-1EF,Reconhecer as diferentes formas de grafar uma letra ou uma palavra.,Não há.,D03-12EF-CL02,Reconhecer uma letra em imprensa minúscula na forma cursiva ou vice-versa.,x,,,,,2.0,EF01LP11,Não há.
D03-1EF,Reconhecer as diferentes formas de grafar uma letra ou uma palavra.,Não há.,D03-12EF-CL03,Reconhecer uma palavra em imprensa maiúscula na forma cursiva ou vice-versa.,x,,,,,2.0,EF01LP11,Não há.
D03-1EF,Reconhecer as diferentes formas de grafar uma letra ou uma palavra.,Não há.,D03-12EF-CL04,Reconhecer uma palavra em imprensa minúscula na forma cursiva ou vice-versa.,x,,,,,2.0,EF01LP11,Não há.
D03-1EF,Reconhecer as diferentes formas de grafar uma letra ou uma palavra.,Não há.,D03-12EF-CL05,"Reconhecer uma frase escrita em imprensa na forma cursiva ou vice-versa.
 
",x,,,,,2.0,EF01LP11,Não há.
D03-1EF,Reconhecer as diferentes formas de grafar uma letra ou uma palavra.,Não há.,D03-12EF-CL06,Reconhecer uma letra em maiúscula na forma minúscula ou vice-versa.,x,,,,,2.0,EF01LP11,Não há.
D03-1EF,Reconhecer as diferentes formas de grafar uma letra ou uma palavra.,Não há.,D03-12EF-CL07,Reconhecer uma palavra em maiúscula na forma minúscula ou vice-versa.,x,,,,,2.0,EF01LP11,Não há.
D03-1EF,Reconhecer as diferentes formas de grafar uma letra ou uma palavra.,Não há.,D03-12EF-CL08,Reconhecer uma frase escrita em maiúscula na forma minúscula ou vice-versa.,x,,,,,2.0,EF01LP11,Não há.
D04-1EF,Reconhecer as direções da escrita.,"Textos de até 8 linhas, composto por períodos simples, sem intercalações, que circulam no campo de atuação da vida cotidiana ou artístico literário.",D04-1EF-CL01,Reconhecer a primeira palavra de um poema.,x,,,,,2.0,EF01LP01,Não há.
D04-1EF,Reconhecer as direções da escrita.,"Textos de até 8 linhas, composto por períodos simples, sem intercalações, que circulam no campo de atuação da vida cotidiana ou artístico literário.",D04-1EF-CL02,Reconhecer a primeira palavra de uma parlenda.,x,,,,,2.0,EF01LP01,Não há.
D04-1EF,Reconhecer as direções da escrita.,"Textos de até 8 linhas, composto por períodos simples, sem intercalações, que circulam no campo de atuação da vida cotidiana ou artístico literário.",D04-1EF-CL03,Reconhecer a primeira palavra de uma quadrinha.,x,,,,,2.0,EF01LP01,Não há.
D04-1EF,Reconhecer as direções da escrita.,"Textos de até 8 linhas, composto por períodos simples, sem intercalações, que circulam no campo de atuação da vida cotidiana ou artístico literário.",D04-1EF-CL04,Reconhecer a primeira palavra de um texto em prosa curto (até 4 linhas).,x,,,,,2.0,EF01LP01,Não há.
D04-1EF,Reconhecer as direções da escrita.,"Textos de até 8 linhas, composto por períodos simples, sem intercalações, que circulam no campo de atuação da vida cotidiana ou artístico literário.",D04-1EF-CL05,Reconhecer a última palavra de um poema.,x,,,,,2.0,EF01LP01,Não há.
D04-1EF,Reconhecer as direções da escrita.,"Textos de até 8 linhas, composto por períodos simples, sem intercalações, que circulam no campo de atuação da vida cotidiana ou artístico literário.",D04-1EF-CL06,Reconhecer a última palavra de uma parlenda.,x,,,,,2.0,EF01LP01,Não há.
D04-1EF,Reconhecer as direções da escrita.,"Textos de até 8 linhas, composto por períodos simples, sem intercalações, que circulam no campo de atuação da vida cotidiana ou artístico literário.",D04-1EF-CL07,Reconhecer a última palavra de uma quadrinha.,x,,,,,2.0,EF01LP01,Não há.
